title,description,image,url
The Shawshank Redemption,Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency.,movie/images/default.png,https://www.imdb.com/title/tt0111161/
The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,movie/images/default.png,https://www.imdb.com/title/tt0068646/
The Dark Knight,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.,movie/images/default.png,https://www.imdb.com/title/tt0468569/
Inception,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,movie/images/default.png,https://www.imdb.com/title/tt1375666/
